Id,Interest,Keywords
0,3D Printing & Manufacturing,3d printing manufacturing material layer materials production traditional applications methods digital model prototyping small achieve batch design industries involves objects processes scale significant tooling various waste additive allowing bioprinting challenging complex components considerations cost create customization enabling future geometries integration jigs large like molds new offering parts physical possibilities post printed process processing produce rapid require technologies technology used ability 
1,Artificial Intelligence(AI),ai knowledge search learning intelligence networks used problems agent neural human decision problem reasoning input action artificial computer use algorithms data inference information logic machine possible theory using general goals optimization perception planning programs solve state tools uses ability applications based classifiers humans include local methods neurons particular real research situations step world actions agents algorithm called domains form function 
2,AR/VR,ar vr experiences virtual world environment real technologies applications reality users digital immersive devices experience gaming headsets healthcare interact like allowing augmented based content education glasses industries motion physical training used user ai challenges computer creation definition enhance enhancing fields future hardware information interactive key markers oculus overlays perception provide provides providing sensors shopping sickness smartphones spaces tablets trends various 
3,Art & drama,drama art theater digital arts images created human musical using audience convey creating creation cultural design exploring expressive forms genres music performances stories theatrical various visual acting characterized characters combining comedy different electronic emotions encompassing everyday experience explore expression fiction form immersive language like movement painting physical plays singing software styles surfaces techniques themes tragedy types use absurdist absurdity accessories 
4,Big Data Analytics,data big analytics techniques insights hadoop processing technologies databases datasets decisions diverse effectively involves large like make structured tools variety various volumes advanced analysis challenges complex components crucial distributed ecosystem extract gain handle help include including making massive nosql organizations patterns real refers time traditional trends unstructured valuable value vast visualization volume warehousing amazon analyze analyzed apache artificial aspects bi 
5,Blockchain,blockchain transactions network technology transaction bitcoin use public ledger data private database networks blocks key access cloud companies digital like participants smart applications blockchains business example block contracts create distributed energy financial following new record service systems consensus consortium control currency edit ethereum exchange features members records shared single central cryptography decentralized different industries make management money party rights services 
6,Data Science,data science learning machine domain ensure patterns algorithms analysis apache cleaning creating crucial eda engineering ethical expertise feature findings handling information insights knowledge making meaningful methods model models new performance privacy relationships role specific statistical structured techniques tools transforming trends unstructured using validation valuable various visualization accuracy addressing adhere advance aid aids align amounts analytical analyzing applications applying approaches artificial 
7,Cloud,cloud computing service data resources infrastructure applications services software public users application use model private security provider hybrid storage business consumer control providers user virtual run systems time clouds demand multiple need platform saas access does using costs customers environment hardware integration machines manage network operating underlying web article capabilities cost definition distributed iaas main maintenance mobile organization paas provided 
8,Cyber Security,security cyber software data information attacks systems cryptography strong protect networks various breach nist secure use attackers business cryptographic threats used vulnerabilities algorithms application applications best help helps organizational unauthorized access assets attack bc input management network new organization organizations policies sensitive cloud effective implementing industry perform reviews user using validation availability compromise continuity design devices digital employees encryption furthermore 
9,Deep Learning,deep learning networks neural layer layers network data image input depth features architectures cap human object output universal 11 artificial dnn function learned models probabilistic process recognition refers 10 13 23 activation approximation computer functions interpretation machine multiple shallow weights 17 18 algorithm applied approximate approximator automatic belief biological certain complex components convolutional dnns edges encode example feedforward higher layered 
